SampleName	Timepoint	Treatment	Tissue
A7	60	WL	Tip
A8	60	WL	Abax
A9	60	WL	Adax
A10	60	Frtip	Tip
A11	60	Frtip	Abax
A12	60	Frtip	Adax
A13	80	WL	Tip
A14	80	WL	Abax
A15	80	WL	Adax
A16	80	Frtip	Tip
A17	80	Frtip	Abax
A18	80	Frtip	Adax
A19	100	WL	Tip
A20	100	WL	Abax
A21	100	WL	Adax
A22	100	Frtip	Tip
A23	100	Frtip	Abax
A24	100	Frtip	Adax
A25	120	WL	Tip
A26	120	WL	Abax
A27	120	WL	Adax
A28	120	Frtip	Tip
A29	120	Frtip	Abax
A30	120	Frtip	Adax
A31	140	WL	Tip
A1	40	WL	Tip
A4	40	Frtip	Tip
A32	140	WL	Abax
A33	140	WL	Adax
A34	140	Frtip	Tip
A35	140	Frtip	Abax
A36	140	Frtip	Adax
A37	160	WL	Tip
A38	160	WL	Abax
A39	160	WL	Adax
A40	160	Frtip	Tip
A41	160	Frtip	Abax
A42	160	Frtip	Adax
A43	180	WL	Tip
A44	180	WL	Abax
A45	180	WL	Adax
A46	180	Frtip	Tip
A47	180	Frtip	Abax
A48	180	Frtip	Adax
A49	300	WL	Tip
A50	300	WL	Abax
A51	300	WL	Adax
A52	300	Frtip	Tip
A53	300	Frtip	Abax
A54	300	Frtip	Adax
B3	40	WL	Adax
B4	40	Frtip	Tip
B5	40	Frtip	Abax
B6	40	Frtip	Adax
B7	60	WL	Tip
B8	60	WL	Abax
B9	60	WL	Adax
B10	60	Frtip	Tip
B11	60	Frtip	Abax
B12	60	Frtip	Adax
B13	80	WL	Tip
B14	80	WL	Abax
B15	80	WL	Adax
B16	80	Frtip	Tip
B17	80	Frtip	Abax
B18	80	Frtip	Adax
B19	100	WL	Tip
B20	100	WL	Abax
B21	100	WL	Adax
B22	100	Frtip	Tip
B23	100	Frtip	Abax
B24	100	Frtip	Adax
B25	120	WL	Tip
B26	120	WL	Abax
B27	120	WL	Adax
B28	120	Frtip	Tip
B43	180	WL	Tip
B44	180	WL	Abax
B45	180	WL	Adax
B46	180	Frtip	Tip
B47	180	Frtip	Abax
B48	180	Frtip	Adax
B49	300	WL	Tip
B50	300	WL	Abax
B51	300	WL	Adax
B52	300	Frtip	Tip
B53	300	Frtip	Abax
B54	300	Frtip	Adax
B29	120	Frtip	Abax
B30	120	Frtip	Adax
B31	140	WL	Tip
B32	140	WL	Abax
B33	140	WL	Adax
B34	140	Frtip	Tip
B35	140	Frtip	Abax
B36	140	Frtip	Adax
B37	160	WL	Tip
B38	160	WL	Abax
B39	160	WL	Adax
B40	160	Frtip	Tip
B41	160	Frtip	Abax
B42	160	Frtip	Adax
C1	40	WL	Tip
C2	40	WL	Abax
C3	40	WL	Adax
C4	40	Frtip	Tip
C7	60	WL	Tip
C8	60	WL	Abax
C9	60	WL	Adax
C10	60	Frtip	Tip
C11	60	Frtip	Abax
C12	60	Frtip	Adax
C13	80	WL	Tip
C14	80	WL	Abax
C15	80	WL	Adax
C16	80	Frtip	Tip
C17	80	Frtip	Abax
C18	80	Frtip	Adax
C19	100	WL	Tip
C20	100	WL	Abax
C21	100	WL	Adax
C22	100	Frtip	Tip
C23	100	Frtip	Abax
C24	100	Frtip	Adax
C25	120	WL	Tip
C26	120	WL	Abax
C27	120	WL	Adax
C28	120	Frtip	Tip
C29	120	Frtip	Abax
C30	120	Frtip	Adax
C31	140	WL	Tip
C32	140	WL	Abax
C33	140	WL	Adax
C34	140	Frtip	Tip
C35	140	Frtip	Abax
C36	140	Frtip	Adax
C37	160	WL	Tip
C38	160	WL	Abax
C39	160	WL	Adax
C40	160	Frtip	Tip
C41	160	Frtip	Abax
C42	160	Frtip	Adax
C43	180	WL	Tip
C44	180	WL	Abax
C45	180	WL	Adax
C46	180	Frtip	Tip
C47	180	Frtip	Abax
C48	180	Frtip	Adax
C49	300	WL	Tip
C50	300	WL	Abax
C51	300	WL	Adax
C52	300	Frtip	Tip
C53	300	Frtip	Abax
C54	300	Frtip	Adax
B1	40	WL	Tip
D4	40	Frtip	Tip
D7	60	WL	Tip
D8	60	WL	Abax
D9	60	WL	Adax
D10	60	Frtip	Tip
D11	60	Frtip	Abax
D12	60	Frtip	Adax
D13	80	WL	Tip
D14	80	WL	Abax
D15	80	WL	Adax
D16	80	Frtip	Tip
D17	80	Frtip	Abax
D18	80	Frtip	Adax
D19	100	WL	Tip
D20	100	WL	Abax
D21	100	WL	Adax
D22	100	Frtip	Tip
D23	100	Frtip	Abax
D24	100	Frtip	Adax
D25	120	WL	Tip
D26	120	WL	Abax
D27	120	WL	Adax
D28	120	Frtip	Tip
D29	120	Frtip	Abax
D31	140	WL	Tip
D32	140	WL	Abax
D33	140	WL	Adax
D34	140	Frtip	Tip
D35	140	Frtip	Abax
D36	140	Frtip	Adax
D37	160	WL	Tip
D38	160	WL	Abax
D39	160	WL	Adax
D40	160	Frtip	Tip
D41	160	Frtip	Abax
D42	160	Frtip	Adax
D43	180	WL	Tip
D44	180	WL	Abax
D45	180	WL	Adax
D46	180	Frtip	Tip
D47	180	Frtip	Abax
D48	180	Frtip	Adax
D49	300	WL	Tip
D50	300	WL	Abax
D51	300	WL	Adax
D52	300	Frtip	Tip
D53	300	Frtip	Abax
D54	300	Frtip	Adax
D30	120	Frtip	Adax
